,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Player-additional,Season
0,1,Tariq Abdul-Wahad,SG,24,SAC,49,1205,11.8,0.486,0.052,0.334,6.3,9.9,8.1,6.5,2.1,0.8,13.0,19.0,,0.5,0.9,1.4,0.058,,-2.5,-0.5,-3.0,-0.3,abdulta01,1998-98
1,2,Shareef Abdur-Rahim,SF,22,VAN,50,2021,20.7,0.53,0.04,0.492,6.5,15.4,10.9,17.6,1.8,2.0,14.6,28.9,,3.7,0.9,4.6,0.108,,2.9,-0.9,2.0,2.1,abdursh01,1998-98
2,3,Cory Alexander,PG,25,DEN,36,778,11.0,0.467,0.404,0.169,1.0,10.3,5.5,26.6,2.4,0.5,19.8,20.3,,-0.2,0.0,-0.3,-0.016,,-2.1,-1.3,-3.4,-0.3,alexaco01,1998-98
3,4,Ray Allen*,SG,23,MIL,50,1719,18.9,0.564,0.309,0.29,4.1,10.7,7.4,18.8,1.7,0.3,13.9,24.5,,4.2,1.1,5.2,0.146,,3.5,-1.0,2.4,1.9,allenra02,1998-98
4,5,Peter Aluma,C,25,SAC,2,5,3.1,0.5,0.0,0.0,21.2,21.0,21.1,0.0,10.0,12.7,50.0,34.1,,0.0,0.0,0.0,-0.206,,-26.4,6.6,-19.8,0.0,alumape01,1998-98
5,6,Derek Anderson,SG,24,CLE,38,978,16.5,0.529,0.22,0.525,2.6,11.5,7.1,28.5,2.7,0.3,17.5,23.4,,1.1,1.0,2.1,0.105,,1.3,0.3,1.6,0.9,anderde01,1998-98
6,7,Kenny Anderson,PG,28,BOS,34,1010,16.7,0.513,0.067,0.283,2.6,9.1,5.7,32.5,1.7,0.1,15.0,20.9,,1.8,0.6,2.4,0.116,,1.1,-1.0,0.1,0.5,anderke01,1998-98
7,8,Nick Anderson,SF,31,ORL,47,1581,15.3,0.493,0.433,0.253,3.7,16.9,10.2,10.7,2.2,0.7,10.4,22.8,,1.3,2.6,3.9,0.118,,1.5,0.6,2.1,1.7,anderni01,1998-98
8,9,Shandon Anderson,SG,25,UTA,50,1072,12.8,0.511,0.113,0.344,6.0,8.8,7.5,9.7,2.0,0.7,13.6,21.6,,0.7,1.3,2.0,0.088,,-1.0,-0.1,-1.2,0.3,andersh01,1998-98
9,10,Chris Anstey,C,24,DAL,41,470,9.2,0.418,0.05,0.345,8.3,14.9,11.6,9.3,2.1,2.0,14.0,18.2,,-0.2,0.4,0.3,0.027,,-4.7,0.3,-4.4,-0.3,anstech01,1998-98
10,11,Greg Anthony,PG,31,POR,50,806,16.6,0.55,0.498,0.355,2.1,6.8,4.5,21.1,4.4,0.3,15.9,19.6,,1.3,1.5,2.8,0.165,,0.9,3.1,4.1,1.2,anthogr01,1998-98
11,12,B.J. Armstrong,PG,31,TOT,32,358,12.9,0.54,0.17,0.239,0.7,12.0,6.4,29.2,1.8,0.0,20.5,15.8,,0.4,0.4,0.7,0.1,,-1.6,0.4,-1.2,0.1,armstbj01,1998-98
12,12,B.J. Armstrong,PG,31,CHH,10,178,13.3,0.601,0.186,0.233,0.7,9.5,5.3,26.6,0.9,0.0,17.4,15.3,,0.3,0.1,0.4,0.114,,0.2,-0.7,-0.5,0.1,armstbj01,1998-98
13,12,B.J. Armstrong,PG,31,ORL,22,180,12.4,0.482,0.156,0.244,0.6,14.4,7.4,31.8,2.7,0.0,23.1,16.3,,0.0,0.3,0.3,0.087,,-3.3,1.4,-1.9,0.0,armstbj01,1998-98
14,13,Darrell Armstrong,PG,30,ORL,50,1502,22.2,0.575,0.362,0.341,4.0,10.0,7.0,40.8,3.9,0.2,20.8,22.9,,3.8,2.7,6.4,0.205,,4.2,2.4,6.7,3.3,armstda01,1998-98
15,14,Keith Askins,SF,31,MIA,33,415,3.5,0.404,0.468,0.129,3.1,9.2,6.4,3.9,2.3,0.5,16.6,9.4,,-0.3,0.5,0.2,0.029,,-5.2,1.7,-3.5,-0.2,askinke01,1998-98
16,15,Stacey Augmon,SF,30,POR,48,874,13.0,0.501,0.011,0.437,6.4,9.9,8.3,10.6,3.5,1.5,12.6,12.4,,1.0,1.6,2.6,0.142,,-1.0,3.7,2.7,1.0,augmost01,1998-98
